trade_date_x,rb_open,rb_high,rb_low,rb_last,rb_settle,rb_volume,rb_open_interest,rb_backward_adjusted,trade_date_y,cl_open,cl_high,cl_low,cl_last,cl_settle,cl_volume,cl_open_interest,cl_backward_adjusted,ho_open,ho_high,ho_low,ho_last,ho_settle,ho_volume,ho_open_interest,ho_backward_adjusted,DSEN                            ,DSOG                            ,DSOI                            ,DSOL                            ,DSOQ                            ,OILBR                           ,OILSW                           ,OIV                             ,OSX                             ,OVX                             ,SG3I                            ,SG4A                            ,SG5I                            ,SPX                             ,SS1J                            ,UOI                             ,PET_WCRSTUS1_W,PET_WCESTUS1_W,PET_WCSSTUS1_W,PET_WGTSTUS1_W,PET_WGRSTUS1_W,PET_WG4ST_NUS_1_W,PET_WBCSTUS1_W,PET_WDISTUS1_W,PET_WD0ST_NUS_1_W,PET_WD1ST_NUS_1_W,PET_WDGSTUS1_W,PET_WRESTUS1_W,PET_EER_EPD2F_PF4_Y35NY_DPG_W,PET_EER_EPMRR_PF4_Y05LA_DPG_W,PET_RWTC_W,PET_RBRTE_W,PET_WCRRIUS2_W,PET_WOCLEUS2_W,PET_WPULEUS3_W
2013-01-02,2.7617,2.8136,2.7605,0.0,2.7951,51416,107072,2.8124,2013-01-02,91.78,93.87,91.56,0.0,93.12,189442,261453,113.81,3.0329,3.0702,3.0325,0.0,3.0463,51537,77812,3.2657,623.82,628.4,552.87,585.83,621.47,110.44,93.12,27.32,225.91,27.8,510.36,1312.28,369.97,1462.42,2376.9,33.77,1027191.0,332239.0,694952.0,225673.0,38.0,59139.0,166496.0,123967.0,93648.0,5432.0,24887.0,36423.0,3.051,2.798,90.14,109.81,15341.0,17395.0,90.4
2013-01-03,2.7971,2.8073,2.7821,0.0,2.7977,45351,107225,2.815,2013-01-03,92.91,93.3,92.49,0.0,92.92,179345,247577,113.61,3.042,3.0429,3.006,0.0,3.0251,65771,76299,3.2445,623.61,627.47,554.55,584.6,623.25,112.36,92.92,25.98,227.32,26.83,509.26,1309.47,367.39,1459.37,2385.29,33.69,1027191.0,332239.0,694952.0,225673.0,38.0,59139.0,166496.0,123967.0,93648.0,5432.0,24887.0,36423.0,3.051,2.798,90.14,109.81,15341.0,17395.0,90.4
2013-01-04,2.7934,2.7934,2.7447,0.0,2.7643,56389,106098,2.7816,2013-01-04,92.86,93.21,91.52,0.0,93.09,197479,236828,113.78,3.0225,3.0241,2.9809,0.0,3.0177,74034,79585,3.2371,630.6,633.27,565.72,588.05,634.24,112.16,93.09,25.05,232.54,26.03,510.19,1311.86,366.49,1466.47,2420.94,33.92,1028083.0,333131.0,694952.0,233085.0,37.0,58599.0,174449.0,130744.0,99871.0,5500.0,25373.0,35566.0,3.037,2.808,92.77,112.35,15257.0,17395.0,89.1
2013-01-07,2.7647,2.7895,2.7433,0.0,2.7774,57141,102074,2.7947,2013-01-07,93.21,93.35,92.42,0.0,93.19,153399,221143,113.88,3.0185,3.0455,3.0086,0.0,3.0321,59811,79257,3.2515,625.89,627.14,565.17,582.55,634.08,111.17,93.19,24.82,231.69,25.04,510.74,1313.28,368.24,1461.89,2400.28,33.95,1028083.0,333131.0,694952.0,233085.0,37.0,58599.0,174449.0,130744.0,99871.0,5500.0,25373.0,35566.0,3.037,2.808,92.77,112.35,15257.0,17395.0,89.1
2013-01-08,2.7852,2.8087,2.7745,0.0,2.7944,61278,99073,2.8117,2013-01-08,93.76,94.25,93.13,0.0,93.6,66078,204705,113.84,3.0401,3.0752,3.0323,0.0,3.0585,65620,77951,3.2779,625.01,627.6,560.42,582.94,628.99,111.16,93.15,24.14,228.84,24.3,511.02,1312.72,371.06,1457.15,2379.43,33.89,1028083.0,333131.0,694952.0,233085.0,37.0,58599.0,174449.0,130744.0,99871.0,5500.0,25373.0,35566.0,3.037,2.808,92.77,112.35,15257.0,17395.0,89.1
2013-01-09,2.7862,2.7865,2.7528,0.0,2.7789,56183,93764,2.7962,2013-01-09,93.61,94.07,93.13,0.0,93.56,66412,217634,113.8,3.0591,3.0753,3.0472,0.0,3.0699,56446,76475,3.2893,624.01,625.92,561.38,581.9,630.01,111.6,93.1,24.09,229.46,24.6,511.26,1312.05,372.04,1461.02,2369.64,33.9,1028083.0,333131.0,694952.0,233085.0,37.0,58599.0,174449.0,130744.0,99871.0,5500.0,25373.0,35566.0,3.037,2.808,92.77,112.35,15257.0,17395.0,89.1
2013-01-10,2.7735,2.8182,2.7708,0.0,2.7933,55890,90195,2.8106,2013-01-10,93.6,95.16,93.53,0.0,94.27,106963,236642,114.51,3.0762,3.1137,3.049,0.0,3.0543,111160,76816,3.2737,630.12,631.98,567.96,587.72,636.42,111.51,93.82,24.04,232.33,24.59,515.67,1322.12,370.3,1472.12,2392.53,34.2,1028083.0,333131.0,694952.0,233085.0,37.0,58599.0,174449.0,130744.0,99871.0,5500.0,25373.0,35566.0,3.037,2.808,92.77,112.35,15257.0,17395.0,89.1
2013-01-11,2.7975,2.7975,2.7324,0.0,2.7543,47535,80044,2.7568,2013-01-11,94.29,94.53,93.06,0.0,93.99,118301,260696,114.23,3.0543,3.0566,2.9957,0.0,3.0085,75553,74405,3.2279,631.56,634.07,567.78,591.2,635.87,112.72,93.56,24.51,232.15,24.57,514.66,1318.3,364.72,1472.05,2386.33,34.11,1027447.0,332180.0,695267.0,234995.0,33.0,57310.0,177651.0,132430.0,102912.0,5765.0,23753.0,36204.0,3.058,2.769,93.38,112.37,15101.0,17400.0,87.9
2013-01-14,2.7499,2.7777,2.7399,0.0,2.7719,51335,85313,2.7744,2013-01-14,94.23,94.73,93.4,0.0,94.59,102131,276080,114.83,3.0065,3.0684,3.0065,0.0,3.0625,68006,69617,3.2819,631.56,634.09,568.0,591.18,636.21,110.67,94.14,26.39,229.87,25.72,518.36,1326.65,365.92,1470.68,2387.28,34.24,1027447.0,332180.0,695267.0,234995.0,33.0,57310.0,177651.0,132430.0,102912.0,5765.0,23753.0,36204.0,3.058,2.769,93.38,112.37,15101.0,17400.0,87.9
2013-01-15,2.7719,2.7799,2.7206,0.0,2.7261,57538,92616,2.7286,2013-01-15,94.71,94.89,93.65,0.0,93.72,118680,280847,113.96,3.0597,3.0658,3.0021,0.0,3.0034,48626,64171,3.2307,634.2,638.28,566.09,594.35,633.69,111.36,93.28,26.4,232.11,25.7,513.65,1314.48,364.76,1472.34,2404.4,34.0,1027447.0,332180.0,695267.0,234995.0,33.0,57310.0,177651.0,132430.0,102912.0,5765.0,23753.0,36204.0,3.058,2.769,93.38,112.37,15101.0,17400.0,87.9
2013-01-16,2.7186,2.7472,2.7117,0.0,2.7385,55154,105585,2.741,2013-01-16,93.87,94.8,93.55,0.0,94.68,157575,292535,114.92,3.0034,3.0278,2.9795,0.0,2.9924,39664,66382,3.2197,636.05,639.65,569.87,595.09,637.16,111.58,94.24,24.98,233.82,24.39,518.91,1327.94,363.42,1472.63,2413.6,34.28,1027447.0,332180.0,695267.0,234995.0,33.0,57310.0,177651.0,132430.0,102912.0,5765.0,23753.0,36204.0,3.058,2.769,93.38,112.37,15101.0,17400.0,87.9
2013-01-17,2.7396,2.7901,2.7381,0.0,2.7825,38121,108629,2.785,2013-01-17,94.63,96.5,94.26,0.0,95.94,161135,292535,116.18,2.9981,3.0279,2.9908,0.0,3.0145,44013,69937,3.2418,640.39,644.28,572.37,599.71,640.72,110.61,95.49,23.75,235.5,23.99,525.81,1345.62,366.1,1480.94,2432.75,34.65,1027447.0,332180.0,695267.0,234995.0,33.0,57310.0,177651.0,132430.0,102912.0,5765.0,23753.0,36204.0,3.058,2.769,93.38,112.37,15101.0,17400.0,87.9
2013-01-18,2.78,2.8181,2.7685,0.0,2.8113,44045,109514,2.8138,2013-01-18,95.65,96.13,95.36,0.0,96.04,196929,307246,116.28,3.0183,3.0458,3.0035,0.0,3.0419,37711,76636,3.2692,646.03,646.91,586.82,602.74,655.97,110.62,95.56,22.05,240.14,21.98,526.36,1347.02,369.43,1485.98,2455.33,34.69,1030260.0,334993.0,695267.0,233257.0,31.0,57568.0,175658.0,132938.0,103650.0,5873.0,23414.0,34908.0,3.045,2.765,94.58,111.35,14206.0,17400.0,83.6
2013-01-22,2.8129,2.859,2.7971,0.0,2.8411,72307,112560,2.8436,2013-01-22,95.71,96.89,95.47,0.0,96.68,228148,314035,116.92,3.0379,3.0772,3.0293,0.0,3.0557,50476,78846,3.283,651.85,651.89,594.61,605.48,664.43,111.84,96.24,21.93,242.0,21.67,529.87,1356.01,371.11,1492.56,2486.11,35.02,1030260.0,334993.0,695267.0,233257.0,31.0,57568.0,175658.0,132938.0,103650.0,5873.0,23414.0,34908.0,3.045,2.765,94.58,111.35,14206.0,17400.0,83.6
2013-01-23,2.8431,2.8664,2.84,0.0,2.8489,57721,118826,2.8514,2013-01-23,96.76,96.92,94.95,0.0,95.23,308077,295685,115.47,3.0562,3.075,3.0444,0.0,3.0652,43584,80428,3.2925,649.45,648.66,595.22,602.68,664.63,112.3,95.23,22.63,242.72,22.75,521.92,1335.68,372.26,1494.81,2478.91,34.5,1030260.0,334993.0,695267.0,233257.0,31.0,57568.0,175658.0,132938.0,103650.0,5873.0,23414.0,34908.0,3.045,2.765,94.58,111.35,14206.0,17400.0,83.6
2013-01-24,2.8495,2.8882,2.8316,0.0,2.8767,61652,121519,2.8792,2013-01-24,95.5,96.68,95.12,0.0,95.95,223143,292171,116.19,3.0674,3.0848,3.0561,0.0,3.0764,54552,83625,3.3037,652.06,653.02,593.24,606.8,661.9,112.72,95.95,22.59,241.58,22.48,525.87,1345.78,373.62,1494.82,2480.46,34.73,1030260.0,334993.0,695267.0,233257.0,31.0,57568.0,175658.0,132938.0,103650.0,5873.0,23414.0,34908.0,3.045,2.765,94.58,111.35,14206.0,17400.0,83.6
2013-01-25,2.8766,2.8995,2.8679,0.0,2.8898,60134,125679,2.8923,2013-01-25,95.95,96.56,95.43,0.0,95.88,175518,294046,116.12,3.0789,3.0815,3.0458,0.0,3.0489,57210,86613,3.2762,658.14,657.48,604.63,610.04,673.21,112.72,95.95,22.67,245.0,22.52,525.48,1344.8,370.28,1502.96,2506.39,34.79,1036400.0,340940.0,695460.0,232301.0,31.0,58724.0,173547.0,130623.0,102065.0,5746.0,22812.0,34292.0,3.088,2.948,95.41,113.72,14481.0,17400.0,85.0
2013-01-28,2.8898,2.9531,2.8725,0.0,2.9409,71686,128433,2.9434,2013-01-28,96.04,96.81,95.47,0.0,96.44,159622,291021,116.68,3.0527,3.0759,3.0374,0.0,3.0543,61737,92571,3.2816,656.42,654.34,607.08,607.91,675.98,113.57,96.44,22.88,246.32,22.98,528.55,1352.66,370.94,1500.18,2499.09,34.97,1036400.0,340940.0,695460.0,232301.0,31.0,58724.0,173547.0,130623.0,102065.0,5746.0,22812.0,34292.0,3.088,2.948,95.41,113.72,14481.0,17400.0,85.0
